@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute positiveW NUMERIC
@attribute negativeW NUMERIC
@attribute positiveE NUMERIC
@attribute negativeE NUMERIC
@attribute feelingcategory {positive,negative,neutral,objective}
@data
'	 can  ugly    beautiful ',positive,0,0,0,0,objective
'	  tl guys talks  afc  mufc  know guys  cant wait  saturday    epl     ',positive,0,0,0,0,objective
'	 ama_la_lettura would   up  full   movies    thursday      tarzan   notebook    list xd ',positive,0,0,0,0,objective
'	watched muse   jonathan ross  last night    nightmares  screwing  up  wednesday! eeeeek! ',neutral,0,0,2,0,positive
'	rivers  gates      rd   season    up chiefs  fantasy teams   ',positive,0,0,0,0,objective
'	arianators  help      girl   body  very sore   asking  ariana   jennette  goodluck  tomorrow    ( ',negative,0,0,0,1,negative
'	google  hangout    october   th!  pm pacific    pm eastern   askllcoolj  llcooljhangout    kpoptv   pm ',objective,0,0,1,0,positive
'	gotta remember  bring dionje candy tomorrow  lol   mad   today! ',positive,0,1,1,0,neutral
'	watched  vow    th      tearing    wrong   movie    tooo    omg  can    ',negative,0,0,0,0,objective
'	   march   th   argentina  miami  no limits   asot   arminvanbuuren ',neutral,0,0,0,0,objective
'	    thank    met  mother"  netflix   question  new favorite   ',positive,1,0,0,0,positive
'	egypt       president mohamed morsi  monday pardoned   arrested   start   revolution        ',positive,0,0,0,0,objective
'	kurt convey wins  boys race         nick diaz coming   nd         rounding   top   was kenny castro  ',positive,1,0,0,0,positive
'	fyi    ridiculously adorable ladybug larry bird    st piece  candy    producer  director chris koch  gorgeous daughter! ',positive,0,0,1,0,positive
'	pictures   overdoser  st anniversary party  safe house  thonglor  online! check   pic twitter com ymeq krl ',objective,0,0,2,0,positive
'	busted  t_m_birch caught  celebrating   st  cup win  andy carroll  joe hart  beer  jager pic twitter com ifv wd i ',neutral,1,0,0,0,positive
'	 patwgr     looking   center    want  inquire  sam gagner  edmonton    ',objective,0,0,0,0,objective
'	enjoyed  flotus today  fl!  michelleobama   brilliant    put! glad  voted saturday  obama      duval pic twitter com  szz xm  ',positive,1,0,2,0,positive
'	tonight  never mind  buzzcocks has  hilarious noel fielding   can  wait  download  tomorrow ',positive,1,0,1,0,positive
'	would  like   cornerback champ bailey play   twelfth pro bowl  january       pro bowl voting      ',neutral,2,0,0,0,positive
'	  litre  fizzy  flavoured water  bed tonight  super sunday  gonna result   mouth like ghandi  flip flop!  gacky  rank  beer ',neutral,2,0,1,0,positive
'	cant wait   "flight"  saturday  denzel     best actors   world alongside leo   niro ',positive,1,0,0,0,positive
'	now   know   halloween candy  gonna   clearance tomorrow    can    valentine    ) ',positive,1,0,1,0,positive
'	city game   ravens stadium saturday  noon    dollars            ',objective,0,0,0,0,objective
'	     sarawoof has never   hard    hard marathon    back   mlg  ',positive,0,0,0,0,objective
'	    africa ',neutral,0,0,0,0,objective
'	aston villa line up january bid  danish midfielder  aston villa  reportedly monitoring  availability       ',objective,0,0,0,0,objective
'	    killed  pakistan   drones  civilians     like   no reason    forgot    nuclear state   ',negative,1,0,0,0,positive
'	 bullandfox   point  flacco       qbr last sunday   vet qb   bad   ',negative,0,1,0,0,negative
'	 like    moment  appreciate  fucking loud  perth crowd   hotchellerae was tonight  can  imagine   better! ',negative,2,0,1,0,positive
'	     laughs    spartacus   max  caroline  comedy club  wednesday october   th!      ',positive,0,0,0,0,objective
'	 dubstephh_   blaze  joe   tomorrow  ',neutral,0,0,0,0,objective
'	 sis won tickets   jonas brothers concert   fort canning  monday     ',positive,1,0,0,0,positive
'	fuck   band  covered   friday night   fuck  ricky martin  existing   first place  big jerk  ',negative,0,3,0,0,negative
'	 th floor paterno   nessa_sassy  nellybeee_  frecklejuice     promise      productive  now   ',objective,0,0,0,0,objective
'	february   th   nice   release        grammys   albums "sell"    ',positive,0,0,0,0,objective
'	  think  not replying    rd text  twat face would    fucking hate   ',negative,0,1,0,0,negative
'	watching vow"    st      cried   ! ',positive,0,1,3,0,positive
'	itl has confirmed   senior bowl chief steve hale  not affiliated  new raycom  star game  montgomery  theallstargame ',neutral,0,0,0,0,objective
'	  bed          was accomplished  athens tomorrow!! ',positive,0,0,1,0,positive
'	  asked  diehard fsu fan   game against dook  sat     kinda worried  coach cut    coastal division leading team ',neutral,0,1,0,0,negative
'	 vow! love  movie     meant     loved    happen no matter  obstacles   face!  truelove  exists ',positive,2,0,2,0,positive
'	 thursday nights arent    waterloo road ',objective,0,0,0,0,objective
'	new jeremy kyle starts monday   bitch   back  school !! ',neutral,0,0,1,0,positive
'	 think   eaten   grue   pc friday   diablo iii (ptr patch     |     ',neutral,0,0,0,0,objective
'	perfect weather  finish  great   noel fielding   thursday   ath  meeting  would     perfect! ',positive,1,0,1,0,positive
'	mohamed nasheed  press brief  coni report      aug         youtube ',neutral,0,0,0,0,objective
'	 muse   russellhoward   kylieminogue    jonathan ross  tonight   terrif sat night well   wossy   toofunny ',positive,0,0,1,0,positive
'	 closer  hockey season       wish  would    pile  games   pvr  jonesing   jets bad    fix! ',neutral,0,1,1,0,neutral
'	 aboard     st flight  hong kong     uk      tweet_yah_later ',objective,0,0,0,0,objective
'	 love  " part    ew  axl rose  up     jimmy kimmel  st live tv interview     years   ',positive,1,0,0,0,positive
'	nothing like watching  vow   friday night  cheers  cancelled plans  sickness ',positive,1,0,0,0,positive
'	can  wait    flight   denzel washington  tomorrow! bam!   ) ',positive,0,0,3,0,positive
'	tomorrow   biggest name  music   entertainment     no   not ricky martin      click     ',positive,0,0,1,0,positive
'	mizzou beats kentucky    tigers advance  face top seed florida   semis  friday          ',positive,0,0,1,0,positive
'	         dancing  ice tour    dvd   tour   november   th      pic twitter com ratltb ',neutral,0,0,0,0,objective
'	 grey huhuhuhu  fuckingawesome  btwftr             tomorrow    work ',positive,0,0,0,0,objective
'	 cus   friday      reasons  bill murray  awesome  ',positive,1,0,0,0,positive
'	 photos up  photoplus   olympus booth      hello! ill    saturday    ',neutral,0,0,1,0,positive
'	lmfaoasdfghjklomg      picture  jenelle    st   school   th grade   damn  nigga changed  ',negative,0,0,0,0,objective
'	should assassin  creed iii   first assassin  creed game   think       ign ',positive,0,0,0,0,objective
'	friday   last   early vote  maryland   q    join   vote  question     votefor  ',neutral,0,0,0,0,objective
'	   noticed   thatalexday reminds   noel fielding   bit   think     strangely wonderful dress sense  ) ',positive,0,0,1,0,positive
'	  great piece   history buffs friday morning   game  schalke   bayern  marked  end  germany  greatest  side  ',positive,1,0,0,0,positive
'	  saturday  fort canning  sweetheart(  okay can! yay!! ',positive,2,0,3,0,positive
'	dimitrov  querrey  tsonga  harrison  split  coaches       like football clubs ',negative,1,0,0,0,positive
'	   forgotten    valentine  present   chance  feb     bonjovi tix coming up!  benandkerryshow ',neutral,0,0,1,0,positive
'	 nd night parker has      boy oh boy ',negative,0,0,0,0,objective
'	controversy      games   tv  super sunday  great spectacles   bestleagueintheworld ',positive,2,0,0,0,positive
'	[pagasa]     am intermittent light  occasionally moderate rains  southern portions  negros  cebu   bohol  persist       ',neutral,0,0,0,0,objective
'	applications    friday november  !!!   video  yes prep senior signing  inspire        ',positive,0,0,1,0,positive
'	apple ceo apologizes  error ridden new map app  apple ceo tim cook apologized friday          coreformulas ',objective,0,0,0,0,objective
'	jimmy kimmel live   axl rose  part    part    jimmy kimmel  interview  axl rose added  thu oct                 ',objective,0,0,0,0,objective
'	  listening    capellas    nd law  appreciating  bad ass bellamy   not   didn   know    albums ',negative,0,1,0,0,negative
'	    family member  friend   fan  austin rivers   want  unfollow        ugly  ',negative,0,0,0,0,objective
'	happy valentines     !!     yes   brazil    celebrated  june      mind   blown ! ',positive,1,0,1,0,positive
'	 ade  playing up    no pre season  has  injured   defoe inform     imo!  attitude not wanted  spurs ',negative,1,0,1,0,positive
'	 ihsanomi    home   recharge  jonas powers  jonas jedi ',negative,0,0,0,0,objective
'	 afc preview   live coverage  saturday  game  man utd  arsenal   premier league    ',objective,0,0,0,0,objective
'	cried   episode  dream high   starting  episode   !!!   tomorrow   watch  last  final episode! ',positive,0,1,2,0,positive
'	   idiots    know   team  call  supporters  read  learn  talk  older fans  ',negative,0,0,0,0,objective
'	 know pablo sandoval  night       guy  story   marlinsmysteryfanrevealed   ',neutral,0,0,1,0,positive
'	 liked   youtube video     th grammys  paul simon  john lennon  presenting  grammy  record   ',positive,1,0,0,0,positive
'	 st     eleanor respond  hate      sweet     mean pic twitter com tdlegkdw ',neutral,1,1,1,0,positive
'	omg  music video   tomorrow! btw   can    harry  voice    ',negative,0,0,1,0,positive
'	egypt       new president mohamed morsi  monday described  relationship       egypt         ',objective,0,0,0,0,objective
'	   noel fielding comedy gala tonight     work   tomorrow    granny smith festival  night ',positive,0,0,1,0,positive
'	watching woman  black"    th  hahaha ',positive,0,0,0,0,objective
'	  healthy kids   cover  kids      boys   girls club   teichert branch  sat  nov     ',objective,0,0,0,0,objective
'	turkey  gul  erdogan bicker  headed" government     reuters    think  wfzeman  ',negative,0,0,0,0,objective
'	     moment     thought     wks  tuesday   noel gallagher up close   best boy   world   now   smiling   ) ',positive,1,0,0,0,positive
'	gov  mitch daniels  rallying republicans   rare appearance    violated    ',negative,0,0,0,0,objective
'	absolutely loving paul  grady  series  battersea dogs home    gutted   finishes     pogdogs ',positive,0,0,0,0,objective
'	      optimistic   think  browns vex    baltimore curse  beat  ravens      lol ',positive,0,0,0,0,objective
'	jeremy lin    lil chinese wiener       hard harden ',neutral,0,0,0,0,objective
'	  cry wen  listen  avril singing tomorrow  dublin   remember  bad happened      ',negative,0,2,0,0,negative
'	cupid  psyche    original greek myth   was  story   golden ass  apuleius  often cited    st fairy tale  ',objective,1,0,0,0,positive
'	 comeposed  first twat  september   th  technically iv   twitter      forgot     good   back ',positive,1,0,0,0,positive
'	" nodoubt  tune   vh  tomorrow   special  nodoubt  pushandshove news segment    am    am hours!" nooooooooo ',negative,1,0,0,0,positive
'	uk   chrisewan  safe house      pence  kindle today    steal!      audiobook now  not work      pub  dec) ',neutral,0,0,1,0,positive
'	 ascolese        star   hog fans  va !!!!!   props   coach wednesday night   signing  event   ville  wps! ',positive,0,0,2,0,positive
'	" punkinpwincess  david guetta  coming  fort canning     october    omg omg omg!        ',positive,0,0,1,0,positive
'	crack  whip!!! ',positive,0,0,1,0,positive
'	 michaelhadley    pretty excited   wolters   team   ',positive,1,0,0,0,positive
'	      last season   now     points  ',neutral,0,0,0,0,objective
'	bears announced   cut  first  pick chris williams   signed cb zack bowman  ',positive,0,1,0,0,negative
'	rehearsing  nov   mlttr mney   called jim leyland  congratulate new york giants   victorious baseball match  sfgchamps   ',positive,0,0,0,0,objective
'	     meeting channing tatum tomorrow     set up  suck  dick twitter! ',negative,0,1,1,0,neutral
'	 boys  hot!!  streakin big win tonight    er  tomorrow!  keepitrollin ',positive,1,0,2,0,positive
'	now holds  virtual silver medal   gb   olympic games final   fm ',objective,0,0,0,0,objective
'	 ollyofficial   filmed jonathan ross     can  wait     sat!  xxx ',positive,0,0,2,0,positive
'	   support  recapo tomorrow   silentnight     th  king dr         pm!!!!!!!   change  want    ',positive,1,0,1,0,positive
'	liverpool looking  activate demba ba   buy  clause  andy carroll      january ',objective,0,0,0,0,objective
'	safe  sound   hotel! scotty passed    plane     doctors  oxygen  practice tomorrow       ',positive,0,0,1,0,positive
'	    work  rugby filled weekend  hurry up saturday!  esherrugby  refereeing  excited ',positive,0,0,1,0,positive
'	 crixacus  ellenhollman  stevendeknight  yr eyes open  incursion    not  spartacus           world   ) ',positive,0,0,1,0,positive
'	    game saturday     site   now removed joe paterno statue  beaver stadium   ',objective,0,0,0,0,objective
'	    odd man           buzz   kendrick lamar  decent  guess   not stellar  ',negative,0,0,0,0,objective
'	    reason  swap  ios has   daft games  "android   desolate wasteland     games  ',negative,0,0,0,0,objective
'	omg bullet   valentine      radio    monday night ',neutral,0,0,0,0,objective
'	 rsherman_   people   won     pro bowl    play   bears cb      gonna prove  wrong  sunday ! ',negative,2,0,0,0,positive
'	   birthday today     share    capped england female footballer  rachelyankey    work   ) ',positive,1,0,1,0,positive
'	oh  geno    beast ',neutral,0,0,0,0,objective
'	alright    daughter keeps singing avril   annoy      forced  retaliate  ',negative,0,0,0,0,objective
'	  agree   bloomberg   should borrow   china   attempt   weather  obama   guy  ',neutral,1,0,0,0,positive
'	   should definitely try    cause   multiplayer mod  weekend      spectacle     ¦ ',neutral,1,0,0,0,positive
'	february   th "desperation   awesome      true_story ',positive,1,0,0,0,positive
'	thats like   th   texans hit  ball  flacco can  throw  ',objective,1,0,0,0,positive
'	indian air force  not   israel     ',negative,0,0,0,0,objective
'	raw        rock    wwe championship match   royal rumble  january   ',objective,0,0,0,0,objective
'	[ black friday best price underwater case    olympus evolt digital slr       ¦ ',positive,2,0,0,0,positive
'	oh no  didn bgv rt" merfreistroffer   can  wait    c_lassyy listen   hours  taylor swift   drive tomorrow " ',negative,0,0,1,0,positive
'	    like  omit  vaccines   top     move kasabian    th    enemy dropping    th  told   can     ',negative,1,0,0,0,positive
'	 skysportsnews  would love  audio book   art  war   sun tzu   read  jim white!!  mountainsandsea ',positive,1,1,1,0,positive
'	 nd coming   blacks america debate       election  bet  truthfighter    tired  hearing ppl  potus       blks ',negative,0,0,0,0,objective
'	   friends   turkey    stand strong     th republic cumhuriyet bayraminiz kutlu olsun ! ',positive,0,0,2,0,positive
'	eh    first  chinese new   feb   th    ',objective,0,0,0,0,objective
'	april      dinner  jacksonville tomorrow night  milford    future   milford!  flighttimeradio  sebringlsa   ',objective,0,0,1,0,positive
'	 tthomasxoxo  win   superbowl! game tomorrow  noon! git    ',positive,0,0,3,0,positive
'	  amsterdam  early   friday morning  not  ideal    want   home! ',negative,0,0,1,0,positive
'	tomorrow   last   edinburgh!  great years      new adventure! ',neutral,1,0,2,0,positive
'	 found    boys    ellen  november  th    ahhh  happy   ) ',positive,1,0,0,0,positive
'	   bro  required      bros  st  paddys    bro holidays like halloween nye  desperation  feb   th ',objective,1,0,0,0,positive
'	adele has won   grammys      wrong   like    songs   adam  voice  better   hasn  won   dgit! ',positive,4,0,2,0,positive
'	      bunt   runner   nd  nobody   no matter   hitter  ',positive,0,0,0,0,objective
'	britain     recession      february  ',neutral,0,0,0,0,objective
'	  hereee!    envy    met    klia   took pictures  nick   tomorrow   turn! ',positive,0,0,2,1,positive
'	 missed    th birthday  avril lavigne  sk er boi! darn   love  song    part   rhymes boy  boy   classic ',positive,1,1,1,0,positive
'	 dickiev stick  college hoops   pandering   nd rate acc teams    dook  opening game  right   corner  baybeeee!! ',positive,0,0,1,0,positive
'	  people  noel fielding tomorrow    extremely jealous    ',negative,0,0,0,0,objective
'	eleanor says     practice squat peeing   shower  tomorrow ',objective,0,0,0,0,objective
'	  checked   march  hereford heifers  sale     stockshowlife  bannerchasing  showringready ',positive,0,0,0,0,objective
'	wait   power   tomorrow        new   met  mother  nooooooooo ',negative,0,1,0,0,negative
'	terrible play call   nd     victor cruz   slant    nicks sideline        ',negative,1,0,0,0,positive
'	drew peterson  no   untouchable! tune    lifetime original movie sunday       lifetimetv    ',neutral,1,0,1,0,positive
'	 nofucksgivinfebruary      shit      pose  problem  valentines  ',negative,0,0,0,0,objective
'	 has     months    heard  lmfao song     month        venture   ',objective,0,0,0,0,objective
'	should    engagement party      san francisco  weekend      officially move  colorado     th  ',neutral,0,0,0,0,objective
'	 stevievanzandt  jakeclemons  guys rocked tonight!!!    kentucky  saturday! ',positive,0,0,2,0,positive
'	championship  team news  bellamy  frame  cardiff    team news  saturday  championship game       boro ',objective,0,0,0,0,objective
'	good night    boys party bus  town tomorrow  osu saturday  cantwait ',positive,1,0,0,0,positive
'	 madiep    wow dumby!!! haha jk ðÿ˜� sweet  lotto ',positive,1,0,1,0,positive
'	 thought   never      axl rose does  st tv interview     yrs   up  watch    ',neutral,0,0,1,0,positive
'	west ham  scored    andy carroll   starts    not  scoring        easier    score  ',positive,0,0,0,0,objective
'	   excited    boys  startalk tomorrow    ',positive,0,0,0,0,objective
'	 notebook      greatest movies created      ',positive,0,0,0,0,objective
'	jonathan ross     amazing  saturday!  ollyofficial   themgeorge       ahhhh can  wait! ',positive,0,0,2,0,positive
'	romney  great line  "trickle  government" was coined  gov  mitch daniels  early  january  mitt  good sources  ',positive,2,0,0,0,positive
'	  mean   check   soundcloud mix   dj      party  saturday         amsterdam livin    ¦ ',objective,0,0,0,0,objective
'	tomorrow   release     th anniversary kniteforce boxset featuring  remixes    super sunday!       store! ',positive,1,0,2,0,positive
'	embarrassing  rams cut alexander  yes  know    mizzou    mon  chiefs   unknowns look like pro bowlers  ',negative,1,1,0,0,neutral
'	 itsmamaafrica    krakow met  independent funder  wants   empower fund local african females   grow    now   talking ',objective,0,0,0,0,objective
'	        sophia grace  rosie   studio  tuesday   soo happy!  cristinarotondo  accents  cuties ',positive,2,0,1,0,positive
'	 ravens release  first injury report     wednesday  sounds like    loaded  names    ',neutral,1,0,0,0,positive
'	friday nite   dwc reading raided sound garden     dvds    cd      cruising home   raphael sadiq  friday   cny  ',neutral,0,0,1,0,positive
'	 judybuenviaje good morning  hong kong! meme pa ang kasama ko   headache     jap resto   lkf   ippudo  ',neutral,1,0,1,1,positive
'	looking      weekend  cny     best bets  thursday  rapper wiz khalifa  headl      ',positive,1,0,0,0,positive
'	syrian delegation withdrew   st session   non aligned movement summit  iran  mohamed morsi addressed  syria crisis ',objective,0,0,0,0,objective
'	ben amos    bench   england       serbia    nd leg   play    euros  ',objective,1,0,0,0,positive
'	   rooting  penn state tomorrow    tho  murdered joe pa    didn   new coach   kids deserve  ',positive,0,0,1,0,positive
'	avril   working    th album      studio      black eyed peas  ',objective,0,0,0,0,objective
'	happy birthday nick    live   happy  ) ',positive,2,0,1,0,positive
'	    bit  lightning       boss  olympus  poseidon controls  majority  weather phenomenon       ',neutral,0,0,0,0,objective
'	    birthday   anderson cooper  nadal  june  rd   awesome   guess! ',positive,1,0,1,0,positive
'	oh  happy halloween   halloween  pumpkin  awesome pic twitter com  up qq ',negative,2,0,0,0,positive
'	" itsmekatsumi  cupid doesn  lie   won  know      try" wwooww  pinaghuhugutan! ',positive,1,0,1,0,positive
'	 mon    taylor won  award         blake     shouldn   piss      ',negative,1,0,0,0,positive
'	 oceanaswansea   true lmfao   tomorrow    ',neutral,0,0,0,0,objective
'	michael jackson  like  sun    hot                            kilometers     ',positive,1,0,0,0,positive
'	uefa women  champions league update    yael_averbuch scoring   game  lots  americans     ¦ ',neutral,0,0,0,0,objective
'	   countries  attend iranplast      expo  tehran     th edition   iranplast exhibition  open        ',objective,0,0,0,0,objective
'	  days  vintagenow   want  raise  bundle   safe house  women  support   attending  ct   th    ',positive,1,0,0,0,positive
'	nominations  now open   citizen    awards held  australia    categories  close nov         ',objective,0,0,0,0,objective
'	fuck sat! act       ',negative,0,1,2,0,positive
'	 recorded  diablo iii     edit  upload  tomorrow ',objective,0,0,0,0,objective
'	 saturday night    hit honored    achievement award  felt like     grammys!      ',positive,1,0,0,0,positive
'	fox chicago     angry  playing  vikings  redskins   nfc championship rematch   ers  giants tomorrow     ',negative,1,0,0,0,positive
'	   feb        "happy valentine         buy cookies  stuff  full    ',positive,1,0,0,0,positive
'	 agiamba capello   draw    th game  juve   serie           ',neutral,0,0,0,0,objective
'	flyin   bay tomorrow  kickin   fresno  couple days    colorado  fuckyes ',positive,0,0,0,0,objective
'	 sale   season hosted  lucky magazine  grammy winner jennifer hudson  starts november  st    mercer   ',neutral,1,0,0,0,positive
'	"nobody    chance  win       tom coughlin playing  underdog card  espn  (memories  last   hurt   nolie ) ',positive,2,0,0,0,positive
'	lady gaga fears classmates   angeles  nov   (ians) singer lady gaga    touch   pe       yahoonews ',negative,0,1,0,0,negative
'	 love asia     first friend       th grade  ',positive,1,0,0,0,positive
'	  games   guys playing    excited  pick up  controller  weekend  veg  fuck   ',neutral,1,1,0,0,neutral
'	now watching denzel washington talking   new movie flight   comming  nov  nd       lateshow  david letterman ',objective,0,0,0,0,objective
'	 heard   themgeorge   jonathan ross sat    gearing up   super pout  ',positive,1,0,0,0,positive
'	  forget    cvs tomorrow    viagara    know     encouragement  can !!!dreams  visions boo ( ',neutral,0,0,1,1,neutral
'	patrick  suit î„† ',negative,0,0,0,0,objective
'	kasabian   fast fuse    shuffle   ipod  definitely   excitement   russellhoward  tuesday! ',positive,1,0,1,0,positive
'	can  wait  raid cvs tomorrow   discounted candy   halloween ',positive,0,0,0,0,objective
'	 patiencemaddox hey!     noel fielding    friday  ',neutral,0,0,1,0,positive
'	nice drive chargers  rivers  romo face alot   criticism  media romo has   nd best passer rating  nfl history  ignorance ',positive,1,0,0,0,positive
'	castle    sneak peek    (season   episode    hahahahaha   monday   ',neutral,0,0,0,0,objective
'	 president talking  growing  economy  like billy cundiff explaining       field goal    th quarter  ',positive,1,0,0,0,positive
'	reasons  celebrate  forcing  turnovers   game sunday   new york giants         nfl  nyg  giants ',positive,0,0,0,0,objective
'	lauren goodger  reportedly   training    series  dancing  ice    doesn     stopped   ha    ',objective,1,0,0,0,positive
'	 should   guarding parker   last play     scored   bet  would     right side   court  ',neutral,1,0,0,0,positive
'	capello bemoans language barrier  russia  russia coach fabio capello  monday   frustration         ',negative,0,0,0,0,objective
'	laugh    enter art   education part  application forms!  burton  barmy army!!! ðÿž¨ ',positive,0,0,2,0,positive
'	     looking    tonight      guessed       halloween party  joe paterno  ',neutral,0,0,0,0,objective
'	afc travel  blackpool  sunday    bathroom soultion   lfa  rd   ko   am  squires gate fc   blackandwhitearmy ',neutral,0,0,0,0,objective
'	nta viewers     am   tues         viewers   tues                ',objective,0,0,0,0,objective
'	flight  denzel washington   tomorrow      ',objective,0,0,0,0,objective
'	 nickiminaj dublin  monday    excited!   friends birthday      concert    plzzzz  happy birthday shauna ',positive,1,0,1,0,positive
'	  monday morning   woke listening  niggas  paris  oh man       good   ',positive,1,0,0,0,positive
'	 jennettemccurdy   happen   online  know   mccurdians trended "jennette  ellen"  mccurdian monday  ) ',positive,0,0,1,0,positive
'	     chapel hill tomorrow    usps  hasn  contacted   found  damn speech processors!!!!  hate   usps ',negative,0,1,1,0,neutral
'	  think   tried      bet    tried    challenge     wasting       ',positive,0,0,0,0,objective
'	quiz tomorrow  plot elements  challenge"     current  story   reading triumphs textbook   knighteng  ',neutral,0,0,0,0,objective
'	acta  choo  thrown               th     tying run  chance     plate " ',negative,0,0,0,0,objective
'	kyle williams has  good chance   play sunday  bills   dealing   ankle injury  williams  back  pr      ',positive,2,0,0,0,positive
'	wisin   yandel record song  ricky martin  jlotimes  indiathe reggaeton duo wisin   yandel announced monday      ',objective,0,0,0,0,objective
'	gutted  bellamy  smith   signed fulham player  loan  december  nd     youtube  looks good ',positive,1,0,0,0,positive
'	clemson plans  honor lattimore  saturday night    dedicating  final play   duke game        knee  ',neutral,1,0,0,0,positive
'	 noticed   huddlestone haters  conspicuous   absence yesterday     assisted bale    st goal  thfc ',negative,0,0,0,0,objective
'	 harryjohnson_   rumour has     true!     weekend  ',positive,0,0,1,0,positive
'	 tomorrow     david guetta    play  fort canning  ',objective,1,0,0,0,positive
'	pakistan clears visa accord  india welcomes    new delhi islamabad  nov   (ians)    pakistan  cabinet ap      ',positive,0,0,0,0,objective
'	lightweight     royal rumble  phoenix  january ',neutral,0,0,0,0,objective
'	georgetown   move tomorrow  ) ',positive,0,0,1,0,positive
'	 delena_team heey    super pumped   delena  ep  nite!!    poland         old           jan! ',positive,1,0,3,0,positive
'	 bob_stauffer imo  gagner   develop depth     would slot nice    rd centre  ',positive,0,0,0,0,objective
'	victor cruz  happy   contract negotiations   giants  tuesday   weekl   ',positive,1,0,0,0,positive
'	check   senior bowl   st "scouter  delight"   ',neutral,0,0,0,0,objective
'	good luck   brother   mother  kingsbu   fight tomorrow   ufcengland  fuel tv    states   warkingsbu  asu ',positive,2,0,0,0,positive
'	san antonio cyber  cyberspace  new battlefield  tehran  war   vancouver sun   ',objective,0,1,0,0,negative
'	realizing tomorrow  friday     realizing   bellamy first    morning                                                   ',objective,0,0,0,0,objective
'	wow drew peterson was  convicted  september  th  murder    rd    never found  body    th  smfh ',negative,0,0,0,0,objective
'	 tomorrow swindon town   date  aston villa  villa  fans nervous   stfc ',neutral,0,0,0,0,objective
'	watch   nigeria     gej pre recorded speech tomorrow live   tape  nta   omojuwa ',objective,0,0,0,0,objective
'	check   newly linked blog post   guest speaker kate brodock thanks   alexandramontg   newhousesm    ',neutral,1,0,0,0,positive
'	   gonna snatch up   leftover  halloween candy  cvs tomorrow  letmeloveyou ',positive,0,0,0,0,objective
'	finished signing up   sat  act ',objective,0,0,0,0,objective
'	happy valentine    artemis  remembered    kind  jerk would     forgot valentine      th    row  ',positive,2,1,1,0,positive
'	 know    january   cant wait   royal rumble  wwe ',positive,0,0,0,0,objective
'	obama remains      win  today      forecast         like decimal places   ',positive,2,0,0,0,positive
'	  want     th birthday  taylor swift tickets  no party   tickets  ',positive,0,0,0,0,objective
'	 mayhemmiller nick diaz   best! smoke weed    drop   school   th grade! fuck yeah! ',positive,1,1,3,0,positive
'	 leaving  th block   joe  class   yelled "joe"        looked     interrupted  talking    teacher whoops ',neutral,0,0,0,0,objective
'	october   th   november  rd      company  fools performance   woman  black!!   ',positive,0,1,1,0,neutral
'	 jenelle    game tomorrow        missherlots  itsbeentolong  mybaby ',negative,0,0,0,0,objective
'	paper finished  cma    blake  miranda dominated  accounting hw  pushed  wednesday    bed happy  ) ',positive,1,0,1,0,positive
'	 blue jays managers  manny acta  sandy alomar jr  sal fasano   wakamatsu  pat hentgen   mlb ',positive,0,0,0,0,objective
'	friday night      notebook      better   tissues ready!  lovestory  noah ali  tears ',positive,2,1,1,0,positive
'	bj penn  shogun  nick diaz  swick fighting    card   should  ppv    fox   dec   th cant wait   ',positive,0,0,0,0,objective
'	ryan    amsterdam tomorrow  wahhh    fuck  goes  ',negative,0,1,0,1,negative
'	knicks  heat tomorrow  kicking   season  msg  ',objective,0,0,0,0,objective
'	last saturday   phbmates  cebu   performed   britney  hits! basing   picture          ',neutral,0,0,1,0,positive
'	muse  jonathan ross brilliant     exciting news  muse  announce monday  gotham records ',positive,0,0,0,0,objective
'	first  filming  dancing  ice tomorrow  should  interesting  ',positive,0,0,0,0,objective
'	 gotta hit up  lil cuzzo  giovannirbmg dis weekend    know   righ now  errything   straight   stay up  ',objective,0,0,0,0,objective
'	  played  mass effect     times   started    th run  diffrence thia   default femshep xd ',objective,1,0,0,0,positive
'	 wanna   wah gwaan wednesday  tonite ',positive,0,0,0,0,objective
'	voted today  proudest  vote  questions       equal rights     law  ',positive,0,0,0,0,objective
'	joe flacco  total qbr   metric  accounts    qb does  was             scale    rating   qb       ',negative,0,0,0,0,objective
'	 castle sun   staying   tues  mother  aint safe up dere   new york wit sandy   dere" fvck   sandy  ',negative,0,0,0,0,objective
'	 greysonchance      asia  good morning! xo can  wait  november       ) ',positive,1,0,2,0,positive
'	 like   was  kid saturday morning    watching saved   bell!   watch soul train      ',neutral,1,0,1,0,positive
'	 awesome tweetup   cebu)   rafa tard! great meeting   scorpio    thank    monday  zubuchon  !!! ',positive,3,0,4,0,positive
'	  tomorrow  national kissing     gonna eat  entire bag  hershey kisses  call     ',positive,0,0,0,0,objective
'	 dance parties   boys  girls club   closest     clubbing       th grade girls can dance better   ',positive,1,0,0,0,positive
'	 thecivilwars   reminder   request   guys   kingdom   thursday     safe  sound  ) ',positive,0,0,1,0,positive
'	wish fifa would  league results  tables  bit  realistic  man utd  relegation zone     games  aston villa   nd  ',positive,0,0,0,0,objective
'	 pumped    niners  giants game sunday    guess   kyle williams  ',positive,0,0,0,0,objective
'	tomorrow  halloween             trending  thankyou   obvious lmfao ',positive,0,0,0,0,objective
